Date,Store ID,Product ID,Quantity Sold,Revenue
1976-06-29,100,,NaN,
1972-02-14,29,,NaN,
1989-04-20,,Gy-5251,NaN,141.06
1974-03-23,,yg-0159,NaN,
1996-08-31,31,Ny-7368,NaN,
2022-09-12,74,BADID,31,
1992-08-21,,BADID,23,
2012-11-03,,Ck-0684,,
1982-02-02,51,BADID,9,106.09
1998-09-15,,BADID,25,
2010-09-01,64,Fc-1900,,
2006-02-26,20,Lz-9139,NaN,
2006-04-22,,Sy-1193,,
1976-06-14,15,BADID,40,
2015-09-20,,BADID,12,342.27
1993-08-23,,Sf-6456,NaN,28.52
2003-06-18,23,,4,
2014-06-15,,XY-3981,15,
1997-09-23,,SH-9840,41,
2016-11-07,80,BADID,,
2009-08-04,14,,,
2005-05-15,,Am-5910,39,
2017-10-08,,BADID,NaN,442.65
1981-09-10,,il-5741,NaN,
2002-10-01,14,BADID,NaN,
1974-08-18,,od-3796,NaN,
2013-05-28,,lV-2139,NaN,
2018-12-19,,BADID,NaN,490.7
2009-03-20,,Ez-6270,4,
2019-04-14,,QL-3725,47,
2014-08-26,80,BADID,34,
1984-08-15,15,,14,300.66
2011-07-30,20,,,
1990-10-30,,Ep-9435,NaN,371.39
2021-11-10,68,,,
1987-06-09,,,,
1979-04-04,,,39,230.54
1995-11-12,,DH-6494,38,
1981-06-30,,BADID,NaN,16.03
2018-09-21,65,BADID,8,
1985-12-13,80,,45,390.76
1992-06-13,,,,
2011-03-20,,,7,124.6
1994-10-08,70,BADID,41,120.41
2022-03-04,,,NaN,
1982-05-26,,,46,
1989-08-02,5,BADID,NaN,
1999-11-25,,,49,
2021-12-07,39,Mb-9487,,145.59
2003-09-25,,,,334.73
1976-06-29,,BADID,2,88.3
2017-07-15,33,,NaN,
2002-07-19,,BADID,13,
1979-01-12,,BADID,NaN,
1972-03-07,,BADID,,166.58
2009-02-09,,qG-1685,,
1997-07-24,,ou-2883,,
1977-04-04,,BADID,,
2017-07-22,34,BADID,5,
2015-08-10,,,3,
2018-12-16,,,NaN,
2000-05-07,,Mm-6387,NaN,
1982-06-13,48,,,459.36
2018-05-23,,gP-2163,23,
1993-09-17,22,BADID,4,
2018-09-03,48,BADID,NaN,
1978-03-22,,Zg-5350,NaN,
1972-11-20,14,,,
1993-12-26,,BADID,NaN,469.79
2015-03-19,91,,NaN,404.55
2019-06-19,,,,
2011-09-02,,pK-1018,,
1990-07-17,31,,,
2023-04-16,,BADID,,454.24
2016-04-29,,qW-3511,33,
1987-03-30,91,aM-1577,10,438.4
1976-11-22,33,BADID,NaN,178.3
1996-10-12,,Hm-9320,NaN,
2019-11-09,,Mq-2367,1,
2006-10-23,86,,,441.27
2006-06-11,,,NaN,312.76
1999-01-20,,cA-8483,NaN,5.9
2002-06-10,,Co-6518,36,23.43
1976-01-25,70,,42,321.3
1991-04-18,14,,48,485.38
2008-07-31,,,5,377.35
1995-10-01,,BADID,36,399.06
1995-09-21,,BADID,NaN,
2011-11-07,,vu-4281,NaN,
2024-10-23,77,PQ-9358,,428.59
2015-03-28,,Pn-7906,NaN,
1991-03-16,,bg-0793,,
2020-02-10,,Tq-7410,7,
2007-07-10,67,,,
1971-02-24,44,BADID,,
2010-05-29,91,,34,
2014-10-14,,TW-0650,10,
2018-02-09,,BADID,NaN,97.94
1978-03-27,75,BADID,18,
2009-09-08,,BADID,,
1985-08-10,4,BADID,12,
1986-03-03,,KI-0170,,
1985-10-27,,Ob-8799,31,
1987-10-05,,wP-7204,NaN,
2015-01-10,72,Ym-5964,NaN,
1998-04-08,,BADID,NaN,287.37
2022-08-04,,BADID,,
1990-03-14,,uZ-4554,22,
2015-06-18,,BADID,NaN,
2024-10-23,67,,,
1993-03-27,,,,
2015-11-08,,BADID,1,58.7
2001-07-23,,BADID,NaN,
1971-08-08,6,bE-8773,NaN,307.13
2019-10-10,,QQ-8576,,
1982-12-27,,BADID,,
1981-08-28,64,,NaN,364.38
1972-06-17,,Kz-7178,NaN,
2021-07-28,,,35,163.11
2012-07-19,87,,39,
1979-08-24,,,48,
2002-06-25,,wx-6593,,150.36
1993-04-04,,BADID,31,
1977-08-07,,,11,263.66
1995-07-28,,BADID,NaN,
1974-04-12,,qD-5926,NaN,
1991-08-28,51,BADID,NaN,
2011-02-14,,ur-5286,,400.44
1978-05-24,59,BADID,NaN,
1971-10-02,,Sk-2636,,
1989-04-07,,,NaN,246.57
1982-09-13,,,,254.17
1985-07-28,,,1,
1989-01-20,,BADID,NaN,417.94
2025-03-06,,,28,433.79
1973-01-18,,BADID,19,393.28
1992-01-02,89,,37,
2014-07-21,85,MB-7273,NaN,
1973-03-19,9,,,
1989-10-20,74,BADID,47,230.48
1986-03-18,,BADID,NaN,
2004-10-28,75,qm-8786,,
1996-05-18,,BADID,NaN,21.91
1978-06-26,,BADID,NaN,
1998-07-11,98,BADID,26,
1973-01-29,39,BADID,NaN,
1998-03-13,,IS-7279,,81.85
2019-06-21,52,kX-3789,,
2003-12-31,,,NaN,
1980-05-31,99,pd-2810,,
2005-06-29,92,CV-8624,NaN,
2006-07-18,24,nH-7149,48,101.59
1994-03-24,,,NaN,
2007-02-01,,BADID,42,148.95
2023-08-14,,ux-6987,NaN,
1984-04-19,,BADID,NaN,
2007-08-05,,BADID,21,
1986-10-14,92,BADID,,
2020-10-20,,BADID,,
1995-09-14,33,sY-8892,NaN,
1998-11-10,98,Sa-9794,44,
1996-08-26,,fx-6077,NaN,123.62
1981-04-07,90,IA-9646,,
1985-06-10,,BADID,NaN,
1981-10-20,,BADID,46,
1989-06-11,94,BADID,8,
1999-03-12,10,,11,
1984-11-02,56,,,
2006-08-30,,el-9003,46,286.17
2019-03-24,,je-3791,2,250.51
1987-08-23,,,,
2005-08-05,,ri-4017,,
1980-07-12,87,BADID,,
2019-07-28,,,,
2013-07-30,,,,422.56
1985-09-05,,nr-3907,,265.41
1972-12-14,85,BADID,,418.39
1986-10-14,,,6,51.03
1990-11-21,38,Yp-1585,NaN,422.3
1985-06-11,,BADID,,
1988-06-14,,oh-9321,,
1977-07-04,,eJ-6149,,
1987-09-02,,mJ-6182,,
1971-09-26,,BADID,,
1982-09-21,33,BADID,28,
1984-10-20,,BADID,33,
2020-03-08,33,,NaN,
2000-08-03,,,,
1973-01-17,,yY-3501,12,
1992-08-04,,uh-5569,41,
2020-09-16,40,JK-9247,,100.82
2013-06-17,26,,,
2019-05-27,,BADID,NaN,106.89
1973-05-08,,,NaN,
2003-04-24,3,,NaN,
1974-08-31,,,6,386.37
2002-12-31,,Fm-5216,NaN,
1980-01-15,87,BADID,,
1986-11-05,72,,NaN,204.33
2006-08-27,,,,308.31
2021-05-27,,at-1782,,
2018-06-13,35,WC-0356,,340.9
2021-11-01,,iw-2293,NaN,
1971-12-27,,BADID,,
2013-10-01,,va-2911,,296.29
2019-03-15,,BADID,10,
1980-02-11,,XD-4873,40,
2008-12-26,,BADID,NaN,
1984-08-26,72,,,
1999-03-31,,,,
1977-03-16,28,BADID,4,205.18
1976-02-11,,BADID,NaN,22.72
1996-05-24,,BADID,,
1992-05-06,,vm-6719,NaN,
2013-09-15,11,BADID,,34.58
1990-09-10,18,BADID,NaN,
1988-12-08,,LY-6607,NaN,
1991-07-02,,Nc-9322,,116.81
1993-06-13,,BADID,2,324.37
1971-07-06,79,BADID,21,
2009-01-10,53,rq-7514,37,11.04
2001-01-28,,EJ-3396,,
2010-11-20,77,BADID,,477.67
2016-04-05,41,BADID,22,144.88
1981-08-07,83,BADID,,46.54
1986-12-16,28,Bi-7204,NaN,370.93
1993-08-13,,,5,
2009-12-27,,BADID,,
1983-02-17,17,BADID,NaN,
1981-08-29,,Zx-7406,NaN,
2007-02-24,56,BADID,NaN,482.66
1971-08-02,,zR-5637,NaN,
1987-01-02,,,NaN,
2012-06-23,,YU-3516,,
2003-03-31,,BADID,,401.71
1982-02-25,,,NaN,393.18
1997-07-24,,Na-5489,NaN,
2012-01-31,,Iv-2213,32,
2022-06-21,47,,,458.75
2021-05-29,100,BADID,16,191.08
1972-02-04,,uO-4944,NaN,
2001-03-17,,BADID,13,24.54
1975-12-31,33,,,159.46
1986-04-23,,ts-9211,8,
2025-01-09,70,,10,
1974-04-21,49,,NaN,
1984-04-25,,,38,337.95
2011-09-29,,BADID,,
1986-03-27,,,NaN,
1981-09-12,,zD-9458,,
1993-08-20,1,BADID,,213.16
1970-05-26,46,,NaN,299.64
1988-01-27,,df-7470,,250.67
1972-07-22,,BADID,1,
1976-01-30,,,NaN,
1984-12-12,,fH-6486,30,344.91
2007-05-08,85,BADID,NaN,
1991-02-25,14,,NaN,
1970-07-27,,BADID,23,
2016-03-10,,pB-1032,28,
2009-09-24,35,,NaN,305.89
1987-09-19,,rA-0412,,
1986-10-27,,BADID,,
1994-03-10,,wj-7420,,430.01
2014-06-16,,BADID,,267.69
1971-06-15,,,4,487.74
2024-05-17,94,wN-3871,7,
2009-06-28,,,,
2023-11-24,1,sk-2507,41,
1982-11-05,,,,
2009-05-06,22,,NaN,
2003-12-22,94,BADID,,215.09
1990-10-21,,aA-8481,NaN,
2010-07-24,,BADID,,427.39
2005-01-21,,gg-6351,NaN,
2005-08-17,,nR-9346,,
1983-11-27,40,xr-1888,,88.28
1994-03-03,100,vE-0093,,
1991-11-17,57,BADID,5,
1985-08-11,56,aX-4618,21,
1987-02-01,21,BADID,8,235.75
2009-08-20,39,FT-1564,,409.72
2014-03-08,56,Ij-4817,9,
1971-12-06,81,,,
1972-05-15,34,bo-9608,11,
1974-10-20,,eD-3853,13,209.55
1977-07-05,,,15,
1984-12-24,70,bb-2142,25,
1999-03-19,96,VF-4383,,
1974-08-29,,BADID,NaN,
1999-12-24,,,,
1974-07-03,,,,441.52
2002-08-16,45,,1,
1986-06-24,25,BADID,NaN,239.06
2016-03-09,,,NaN,
1981-01-31,,BADID,15,246.73
1984-02-04,,,9,
2018-08-16,66,,,
1979-11-28,,,NaN,392.59
1997-12-19,52,ud-6646,,
1984-03-13,,,23,
1984-06-22,52,,,
2009-01-05,,BADID,44,385.94
2017-12-14,3,ML-9815,,
1994-10-25,66,xq-6585,13,
2013-11-09,,,,
2024-01-11,93,,,245.85
1971-01-06,47,BADID,,
1999-01-09,19,,,
2020-07-01,,,9,
2019-04-25,,BADID,29,
2007-07-20,,,,60.57
2016-12-10,,TL-6666,29,462.4
1994-10-20,,,,
1989-01-13,,,14,
1998-01-23,80,dp-9372,NaN,
2024-05-13,,JG-5402,NaN,
2014-03-28,,uQ-2872,,287.53
1981-07-26,,ap-2022,31,
1976-01-28,,qY-5295,NaN,
1980-05-31,,BADID,,268.64
2006-01-22,,NB-1168,NaN,
1985-03-02,,BADID,NaN,
2022-06-30,38,BADID,NaN,234.55
1988-11-23,91,,,
1983-01-25,,BADID,40,102.66
1996-11-19,,BADID,,143.27
1983-10-15,72,UK-2738,NaN,388.71
1995-11-10,,xs-1665,NaN,369.3
1991-09-27,,,,
2024-07-26,100,MB-1926,NaN,
1984-11-25,,cZ-7668,40,
1995-04-30,,IL-8545,39,
2010-12-21,78,BADID,50,198.73
2011-11-30,,ez-9883,NaN,342.46
2018-02-13,,,,
1986-02-08,,,,495.1
2001-02-17,,rY-8398,,
1999-04-09,,OM-3556,NaN,
2015-08-26,46,BADID,,
2020-12-27,51,yR-7393,,450.15
1987-03-26,,,NaN,121.07
2005-09-09,,BADID,2,432.98
2009-11-08,,Yz-9163,24,
2024-11-09,87,BADID,NaN,
2000-04-14,,BADID,26,
1995-03-26,,GV-6122,,
2021-04-12,,,NaN,
2001-09-16,,BADID,29,10.71
1989-05-01,,PS-6461,NaN,317.56
1987-08-10,,BZ-0138,11,
2007-12-26,,BADID,4,
1980-03-16,88,,,
2022-05-11,,JW-8080,,243.92
2006-02-07,,BADID,,
1985-12-03,,Rj-4995,NaN,
2025-01-17,40,BADID,NaN,483.39
1983-02-11,,TG-8019,,
1997-05-10,,tg-1281,,
1990-03-10,,,NaN,
1985-02-23,,KO-9720,15,29.37
1987-12-17,,oU-6787,38,53.22
1989-09-07,,BADID,NaN,221.02
2018-12-07,,BADID,NaN,
1995-11-23,40,,,
1992-12-04,,,5,
2007-07-28,,,2,442.01
1976-01-23,,Ge-0247,,
2015-01-19,,Qz-0638,,
1985-04-30,,wE-4056,NaN,
